State,Date,X,Series_Complete_Pop_Pct,TEMP_new_14MA,Humidity_14MA,capacity,pre_hosp_adm_pct,Daily_hospital_Admission_pct_ma,New_Cases_MA,Additional_Doses_Vax_Pct,diff_Completevac_90,diff_Completevac_180,diff_Completevac_270,Adjust_Doses_Vax_Pct
Alabama,2021/12/11,4902,46.8,12.06064463,77.1676465,0.770353403,7.728050868,7.666181465,588.8571426,22.6,6.6,16.2,36.4,44.14
Alabama,2021/12/12,4903,46.9,12.07250173,77.02678712,0.723007349,7.666181465,7.850070721,606,22.7,6.5,16.3,36.2,44.239
Alabama,2021/12/13,4904,46.9,12.10386382,78.26561007,0.722360656,7.850070721,6.463054187,725.0000001,22.9,6.5,16.1,36,44.239
Alabama,2021/12/14,4905,47,12.30234866,79.31317504,0.732543176,6.463054187,6.597978997,720.9999998,23.2,6.5,15.5,35.8,44.318
Alabama,2021/12/15,4906,47,12.43718913,80.01758941,0.737743931,6.597978997,6.528477334,737.4285713,23.4,6.3,15.4,35.6,44.322
Alabama,2021/12/16,4907,47,12.62536333,80.74503063,0.781430826,6.528477334,6.356535965,773.4285713,23.5,6,15.2,35.4,44.318
Alabama,2021/12/17,4908,47.1,12.88756055,81.630912,0.773498395,6.356535965,6.424128378,780.8571425,24,6,15.2,35.5,44.429
Alabama,2021/12/18,4909,47.2,13.27757421,81.95461781,0.762727452,6.424128378,6.071114462,812.142857,24.3,5.9,15.3,35.4,44.536
Alabama,2021/12/19,4910,47.2,12.92428236,82.32749034,0.73843616,6.071114462,6.01542291,836.2857141,24.4,5.8,15.2,35.2,44.536
Alabama,2021/12/20,1,47.2,12.04715651,82.20939903,0.715602977,6.01542291,6.438169327,808.0000004,24.6,5.6,15.2,34.9,44.544
Alabama,2021/12/21,2,47.2,11.98303156,82.40407386,0.727622842,6.438169327,5.706916358,941.5714286,24.8,5.5,15.1,34.7,44.548
Alabama,2021/12/22,3,47.3,11.71354091,81.71449399,0.749668699,5.706916358,4.919834264,1132.857143,25.1,5.6,15.2,34.6,44.655
Alabama,2021/12/23,4,47.3,11.58380622,79.99602745,0.740687303,4.919834264,4.383960108,1375.142857,25.5,5.5,15.1,34.5,44.667
Alabama,2021/12/24,5,47.5,11.15183361,78.47663068,0.722189369,4.383960108,3.965192428,1592.428571,26.2,5.5,15.2,34.6,44.881
Alabama,2021/12/25,6,47.5,10.97328409,77.80425788,0.733283399,3.965192428,4.201385843,1628.714286,26.3,5.3,15.1,34.4,44.881
Alabama,2021/12/26,7,47.5,11.66416225,79.134223,0.663656736,4.201385843,3.796578392,1828.714286,26.4,5.2,15,34.1,44.881
Alabama,2021/12/27,8,47.5,12.45849784,80.01204017,0.649864211,3.796578392,3.372573974,2245,26.4,5,15,33.8,44.881
Alabama,2021/12/28,9,47.6,13.19090462,80.59160607,0.698365926,3.372573974,2.97683058,2922.571429,26.7,5.1,14.9,33.5,44.98
Alabama,2021/12/29,10,47.6,13.81007881,81.34095574,0.741458541,2.97683058,2.586335775,3822.285714,26.7,5,14.9,33.2,44.98
Alabama,2021/12/30,11,47.6,14.15554349,81.81062708,0.758314126,2.586335775,2.339893974,4688.857142,27.1,5,14.7,33.1,44.988
Alabama,2021/12/31,12,47.7,14.27401519,81.82768989,0.755397108,2.339893974,2.406990458,5329.714287,27.4,5,14.8,33.2,45.095
Alabama,2022/1/1,13,47.7,14.51961404,81.1337488,0.743666467,2.406990458,2.34860529,5930.571431,27.7,4.8,14.7,32.9,45.103
Alabama,2022/1/2,14,47.7,14.9771898,81.0530923,0.694425374,2.34860529,2.491257742,6250.428573,27.7,4.7,14.7,32.5,45.103
Alabama,2022/1/3,15,47.8,14.81569603,81.10075628,0.706911998,2.491257742,2.464846981,6908.571431,28,4.7,14.8,32.2,45.21
Alabama,2022/1/4,16,47.8,14.47636681,81.08221748,0.730585945,2.464846981,2.367303018,7700.142861,28.1,4.6,14.7,31.7,45.21
Alabama,2022/1/5,17,47.9,14.58379808,81.73939933,0.754729406,2.367303018,2.392671589,8358.85714,28.2,4.7,14.7,31.4,45.305
Alabama,2022/1/6,18,47.9,14.74384353,83.73697458,0.778872867,2.392671589,2.536709027,8678.285716,28.5,4.5,14.7,31.2,45.317
Alabama,2022/1/7,19,48,14.15087798,83.69968276,0.782350221,2.536709027,2.541653155,9251.571426,28.7,4.6,14.7,31.2,45.416
Alabama,2022/1/8,20,48,13.23343184,82.37129957,0.767348285,2.541653155,2.566246648,9908.857142,29,4.5,14.7,30.8,45.428
Alabama,2022/1/9,21,48,12.90980656,81.8735455,0.73669634,2.566246648,2.582110265,10191,29.2,4.4,14.6,30.3,45.432
Alabama,2022/1/10,22,48.1,12.20032452,79.88877375,0.735653437,2.582110265,2.685474585,10421.14286,29.4,4.5,14.7,29.9,45.535
Alabama,2022/1/11,23,48.1,11.05405607,77.27416732,0.748215136,2.685474585,2.791881646,10438.42857,29.5,4.4,14.5,29.4,45.531
Alabama,2022/1/12,24,48.2,9.853902908,75.6326134,0.765939999,2.791881646,2.884342718,10579.28571,29.8,4.5,14.6,29.1,45.638
Alabama,2022/1/13,25,48.2,8.9178823,73.94036753,0.777999468,2.884342718,2.900666956,10859.57143,30,4.4,14.6,29,45.646
Alabama,2022/1/14,26,48.3,8.08642991,72.08538813,0.784537726,2.900666956,2.923765893,11101.14286,30.3,4.4,14.6,29,45.749
Alabama,2022/1/15,27,48.4,6.990319684,71.55085391,0.782819882,2.923765893,3.011886331,11165.28571,30.5,4.4,14.7,28.7,45.852
Alabama,2022/1/16,28,48.4,6.057271154,71.79162001,0.769589242,3.011886331,3.015725482,11373.71429,30.6,4.4,14.7,28.3,45.856
Alabama,2022/1/17,29,48.4,6.053601265,71.54270358,0.754009983,3.015725482,3.032688036,11253.57143,30.7,4.4,14.5,27.8,45.852
Alabama,2022/1/18,30,48.4,6.095798773,71.20772311,0.758485908,3.032688036,3.010280753,11978,30.8,4.3,14.5,27.3,45.856
Alabama,2022/1/19,31,48.9,6.216925001,70.51467373,0.775957403,3.010280753,2.970919204,12276.14286,30.7,4.7,15,27.4,46.327
Alabama,2022/1/20,32,48.9,6.245684897,70.47216935,0.792749884,2.970919204,2.968013525,12759.85714,30.7,4.6,14.9,27.2,46.323
