"","Date","columunG1","columunG1_low","columunG1_up","columunG2","columunG2_low","columunG2_up"
"1",0,252.311455149349,157.328361868952,438.123561856907,415.87877253612,238.144019471054,569.142409903606
"2",1,257.82845902119,144.148731105636,435.107995030884,386.506365389083,244.214907354491,594.950761669171
"3",2,267.459682994358,146.370425123752,410.08933682289,407.788038482158,244.183768112657,579.903789475901
"4",3,255.285024481001,159.719907015365,406.18218434469,418.268785936228,245.961384824907,595.223227592342
"5",4,272.958993020462,161.358466269572,426.504477328016,453.032552523654,242.883540250719,670.455176713969
"6",5,278.703542507589,161.358466269572,424.610197114428,458.018912231821,244.879242643243,598.267420004353
"7",6,280.524259890046,161.872010407702,500.599976846067,478.095410998967,234.516968110772,567.091428340486
"8",7,270.49722049548,177.431242405361,439.983009654272,466.386880669916,265.818875073765,637.709500744618
"9",8,267.890182714367,182.95769000007,472.526592883075,483.075832153422,270.564204894863,637.164200695611
"10",9,264.768537903737,182.95769000007,462.255503353316,514.583067562148,253.194050790292,620.706761473659
"11",10,265.237804605471,190.664324516932,515.522887800585,498.149458671395,265.59187099365,603.079305571616
"12",11,266.834237086775,195.097344857768,455.775852748974,488.952233235969,257.807864592841,640.829943832274
"13",12,266.155935692564,195.311267358342,474.950268195855,516.763422775069,343.681473457114,629.382295242787
"14",13,277.823643952347,196.487841392276,474.950268195855,485.495378308395,378.877527786326,634.191280726998
"15",14,312.693165323941,195.498449569743,474.950268195855,484.780393002795,325.087507563906,649.55628531069
"16",15,321.985661889517,195.017123990246,518.570914606421,485.503352614022,316.665123637458,644.828215013926
"17",16,333.525276865833,206.725372972808,516.742098617747,527.37397299528,368.670501677294,637.502665598416
"18",17,337.308111782235,206.725372972808,486.6682365358,529.709112277083,375.417835758466,644.388211203612
"19",18,328.727802717783,208.414021969202,563.884909295133,509.17330330741,378.402876546657,681.026661869206
"20",19,333.252471318878,219.885067848004,524.486626660468,512.637776772319,404.453793523749,686.200763296804
"21",20,337.930084620348,224.448380202404,528.972403913514,527.247592721743,404.453793523749,686.200763296804
"22",21,346.289728405235,235.386357700989,543.835456021447,575.297816797688,404.453793523749,681.451436876717
"23",22,378.105672466161,249.778734465623,582.015102331324,624.384056360924,421.643762366543,686.82278460252
"24",23,376.338625878901,269.682420957538,574.014728671288,656.014099350769,421.643762366543,845.976987988005
"25",24,360.809145608632,284.044668684084,690.199990479811,695.417958508539,421.643762366543,742.252229337419
"26",25,401.506124332009,319.308211417055,744.944262198122,688.608922633831,440.45981161999,879.611120715737
"27",26,427.057396179299,353.100723367795,841.589455457433,671.9032745277,449.315132085242,958.897059870206
"28",27,448.062739052307,346.596519457739,992.212228455323,675.265417374862,471.159542743893,1032.90185199391
"29",28,548.261832235875,361.093212800907,1054.61179162647,673.374211816483,524.934654900142,1024.21333403254
