Date,columunG1,columunG1_low,columunG1_up,columunG2,columunG2_low,columunG2_up
2021/12/11,283.8852801,207.8925964,501.1816872,566.8148525,231.0478219,646.2126576
2021/12/12,285.2005054,208.2470733,496.9076565,566.8148525,235.1510783,648.2811634
2021/12/13,275.8040309,210.3978902,461.6492103,536.9268074,252.8196013,675.7703718
2021/12/14,271.783735,195.9665582,453.8175572,521.7544086,260.1970815,676.4688862
2021/12/15,304.8605146,191.4396495,456.143318,518.2882077,276.4591376,660.1840105
2021/12/16,298.3613358,180.2643606,446.0382337,544.1518893,293.9109755,664.3194438
2021/12/17,276.0880581,176.002789,471.5054764,560.1010112,313.0151687,670.7198338
2021/12/18,281.2091879,175.8220172,470.6239507,560.1010112,340.1856569,673.127277
2021/12/19,290.8597634,190.3769894,475.6108501,560.1010112,368.1702786,678.8353448
2021/12/20,309.8139907,222.7186677,482.2858041,573.1716144,417.802565,726.1163563
2021/12/21,329.9497768,239.1041627,444.5860182,597.3359238,479.3181065,776.6304397
2021/12/22,353.241341,249.8005062,478.4570583,625.6391802,511.443247,820.3187022
2021/12/23,383.1349694,278.4220579,483.97255,661.2274288,562.5113035,843.0315232
2021/12/24,367.1331589,290.5471538,452.3341898,712.1774974,539.082189,893.5150737
2021/12/25,375.8102885,291.3483769,426.3034314,718.3021333,525.5623381,1003.126152
2021/12/26,364.5538168,291.3483769,418.4016382,716.5509788,543.8300645,1032.949926
2021/12/27,441.6522593,350.0571632,552.1795986,786.2883276,547.5434253,1090.806944
2021/12/28,466.5697429,405.7491436,593.7930374,804.1270766,583.1500665,1163.590212
2021/12/29,534.1855151,462.6096483,711.0552973,889.8289342,636.00863,1297.727063
2021/12/30,655.4744758,523.654425,890.8654472,1031.691725,739.3531967,1489.070563
2021/12/31,717.9372557,549.9499205,964.6549693,1148.449032,833.983738,1635.295975
2022/1/1,717.9372557,562.9215705,1013.970278,1291.112465,833.983738,1755.913774
2022/1/2,760.4468656,562.9215705,1157.81757,1334.536981,856.6575013,1874.19213
