lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
-0.322748866,-0.290053596,-0.257977884,-0.227141289,-0.198162867,-0.171483578,-0.147104445,-0.124959749,-0.104983772,-0.087110793,-0.071275095,-0.057410959,-0.045452667,-0.035334499,-0.026990736,-0.020355661,-0.015363554,-0.011948696,-0.01004537,-0.009587855,-0.010510434,-0.012747387,-0.016232996,-0.020901543,-0.026687308,-0.033524572,-0.041347618,-0.050090726,-0.059688177,-0.070074253,-0.081183235,-0.092949405,-0.105307043,-0.118190431,-0.13153385,-0.145271581,-0.159337906,-0.173667106,-0.188193462,-0.202851256,-0.217574768
-0.274991293,-0.245796525,-0.217173958,-0.189695792,-0.163933764,-0.140295128,-0.118780828,-0.09933017,-0.081882456,-0.066376993,-0.052753085,-0.040950037,-0.030907152,-0.022563737,-0.015859095,-0.010732532,-0.007123351,-0.004970859,-0.004214358,-0.004793155,-0.006646553,-0.009713858,-0.013934373,-0.019247405,-0.025592257,-0.032908234,-0.041134641,-0.050210782,-0.060075963,-0.070669487,-0.08193066,-0.093798786,-0.10621317,-0.119113116,-0.13243793,-0.146126916,-0.160119378,-0.174354621,-0.188771951,-0.203310671,-0.217910086
-0.231051365,-0.205105344,-0.179687074,-0.155324304,-0.132544356,-0.111722848,-0.092860651,-0.075901784,-0.060790267,-0.047470119,-0.035885361,-0.025980012,-0.017698092,-0.01098362,-0.005780616,-0.0020331,0.000314909,0.00131939,0.001036324,-0.000478308,-0.003168527,-0.006978351,-0.011851802,-0.017732897,-0.024565658,-0.032294104,-0.040862254,-0.050214128,-0.060293747,-0.071045129,-0.082412294,-0.094339262,-0.106770053,-0.119648687,-0.132919182,-0.146525559,-0.160411838,-0.174522038,-0.188800179,-0.203190281,-0.217636362
-0.190782162,-0.167842538,-0.145389015,-0.123907698,-0.103884292,-0.085664774,-0.069249946,-0.054588245,-0.041628108,-0.030317973,-0.020606278,-0.012441459,-0.005771955,-0.000546202,0.003287362,0.005780299,0.006984172,0.006950543,0.005730976,0.003377033,-5.97E-05,-0.004527733,-0.00997543,-0.016351253,-0.02360364,-0.031681028,-0.040531854,-0.050104556,-0.060347571,-0.071209337,-0.082638291,-0.094582871,-0.106991513,-0.119812657,-0.132994738,-0.146486194,-0.160235464,-0.174190983,-0.18830119,-0.202514523,-0.216779417
-0.154036765,-0.133870589,-0.114151565,-0.095326846,-0.07784322,-0.062018941,-0.047854746,-0.035303204,-0.024316885,-0.014848357,-0.006850189,-0.000274951,0.004924789,0.008796462,0.011387498,0.012745328,0.012917384,0.011951097,0.009893897,0.006793215,0.002696483,-0.002348869,-0.008295409,-0.015095707,-0.022702332,-0.031067852,-0.040144837,-0.049885856,-0.060243477,-0.071170271,-0.082618805,-0.094541648,-0.106891371,-0.119620541,-0.132681729,-0.146027502,-0.15961043,-0.173383082,-0.187298027,-0.201307834,-0.215365072
-0.120668251,-0.103051982,-0.085846507,-0.069462622,-0.054310789,-0.040683383,-0.028581083,-0.017960314,-0.008777501,-0.000989071,0.005448551,0.01057894,0.014445671,0.017092316,0.018562452,0.018899652,0.018147492,0.016349544,0.013549384,0.009790587,0.005116726,-0.000428624,-0.006801888,-0.013959492,-0.021857862,-0.030453423,-0.0397026,-0.04956182,-0.059987508,-0.070936088,-0.082363988,-0.094227632,-0.106483446,-0.119087856,-0.131997287,-0.145168164,-0.158556914,-0.172119962,-0.185813732,-0.199594652,-0.213419146
-0.090529702,-0.0752492,-0.060345624,-0.046195899,-0.033176646,-0.021556136,-0.01133499,-0.002473226,0.005069137,0.011332082,0.016355589,0.020179641,0.02284422,0.024389308,0.024854885,0.024280936,0.02270744,0.02017438,0.016721738,0.012389495,0.007217634,0.001246136,-0.005485017,-0.012935842,-0.021066359,-0.029836586,-0.03920654,-0.04913624,-0.059585703,-0.070514949,-0.081883995,-0.093652859,-0.10578156,-0.118230115,-0.130958544,-0.143926863,-0.157095092,-0.170423248,-0.183871349,-0.197399414,-0.210967461
-0.063474197,-0.050324728,-0.037520698,-0.02540755,-0.014330441,-0.004535234,0.003977501,0.011244407,0.017302126,0.0221873,0.02593657,0.028586578,0.030173968,0.03073538,0.030307458,0.028926842,0.026630175,0.023454099,0.019435256,0.014610288,0.009015838,0.002688546,-0.004334944,-0.012017991,-0.020323953,-0.029216188,-0.038658053,-0.048612906,-0.059044107,-0.069915011,-0.081188978,-0.092829366,-0.104799532,-0.117062834,-0.129582631,-0.14232228,-0.155245139,-0.168314566,-0.18149392,-0.194746557,-0.208035837
-0.039354815,-0.028141049,-0.017243515,-0.006978447,0.002338178,0.010481287,0.017450357,0.023278934,0.028000561,0.031648781,0.034257139,0.035859179,0.036488445,0.03617848,0.034962829,0.032875035,0.029948643,0.026217196,0.021714238,0.016473313,0.010527966,0.00391174,-0.003341821,-0.011199173,-0.019626772,-0.028591074,-0.038058535,-0.047995611,-0.058368759,-0.069144434,-0.080289092,-0.09176919,-0.103551183,-0.115601528,-0.127886681,-0.140373097,-0.153027233,-0.165815544,-0.178704487,-0.191660519,-0.204650094
-0.018024637,-0.008560647,0.000614144,0.009210536,0.016939563,0.023595392,0.029177546,0.033716702,0.037243536,0.039788725,0.041382944,0.042056871,0.041841181,0.040766552,0.038863659,0.036163179,0.032695789,0.028492164,0.023582982,0.017998918,0.01177065,0.004928853,-0.002495796,-0.010472621,-0.018970944,-0.027960091,-0.037409384,-0.047288146,-0.057565703,-0.068211376,-0.07919449,-0.090484368,-0.102050334,-0.113861712,-0.125887824,-0.138097995,-0.150461548,-0.162947807,-0.175526095,-0.188165736,-0.200836053
0.000663258,0.008553994,0.016180495,0.023278526,0.029584064,0.034909046,0.039253035,0.042644059,0.045110148,0.046679328,0.04737963,0.04723908,0.046285707,0.044547541,0.042052608,0.038828938,0.034904559,0.030307499,0.025065787,0.019207451,0.012760518,0.005753019,-0.001787019,-0.009831568,-0.0183526,-0.027322085,-0.036711995,-0.046494303,-0.056640979,-0.067123996,-0.077915325,-0.088986938,-0.100310805,-0.1118589,-0.123603193,-0.135515657,-0.147568262,-0.159732981,-0.171981785,-0.184286646,-0.196619535
0.01685579,0.02334039,0.029583755,0.03534465,0.040382035,0.044524214,0.047770791,0.050147354,0.05167949,0.05239279,0.052312842,0.051465234,0.049875554,0.047569393,0.044572337,0.040909977,0.0366079,0.031691696,0.026186952,0.020119258,0.013514202,0.006397373,-0.001205641,-0.00926925,-0.017767866,-0.026675901,-0.035967766,-0.045617872,-0.055600631,-0.065890453,-0.076461751,-0.087288935,-0.098346417,-0.109608608,-0.12104992,-0.132644764,-0.144367551,-0.156192693,-0.168094601,-0.180047686,-0.192026359
0.03069988,0.035936058,0.040952141,0.045528035,0.049443825,0.052542862,0.054824783,0.056312933,0.05703066,0.057001309,0.056248227,0.054794759,0.052664252,0.049880052,0.046465506,0.042443959,0.037838757,0.032673247,0.026970775,0.020754688,0.01404833,0.006875049,-0.000741809,-0.008778899,-0.017212874,-0.026020387,-0.035178093,-0.044662646,-0.054450698,-0.064518905,-0.07484392,-0.085402397,-0.096170989,-0.107126351,-0.118245136,-0.129503998,-0.140879591,-0.152348568,-0.163887584,-0.175473293,-0.187082347
0.042342448,0.046478512,0.050413869,0.053947809,0.056879787,0.059066954,0.060508976,0.061227146,0.061242751,0.060577083,0.05925143,0.057287083,0.054705331,0.051527465,0.047774774,0.043468548,0.038630076,0.033280649,0.027441556,0.021134088,0.014379533,0.007199182,-0.000385675,-0.008353749,-0.01668375,-0.025354388,-0.034344373,-0.043632415,-0.053197225,-0.063017512,-0.073071988,-0.083339361,-0.093798343,-0.104427643,-0.115205972,-0.12611204,-0.137124557,-0.148222234,-0.159383779,-0.170587904,-0.18181332
0.051930414,0.055105271,0.058097156,0.060723098,0.062800273,0.064198454,0.06491734,0.064976339,0.064394859,0.063192309,0.061388098,0.059001633,0.056052323,0.052559576,0.048542802,0.044021408,0.039014803,0.033542395,0.027623593,0.021277805,0.01452444,0.007382906,-0.000127388,-0.007987035,-0.016176624,-0.02467675,-0.033468001,-0.042530971,-0.051846251,-0.061394432,-0.071156106,-0.081111864,-0.091242299,-0.101528001,-0.111949562,-0.122487573,-0.133122627,-0.143835315,-0.154606228,-0.165415958,-0.176245096
0.059610698,0.061953849,0.064130219,0.065973029,0.067315633,0.068039329,0.068143842,0.067646862,0.06656608,0.064919188,0.062723876,0.059997835,0.056758756,0.053024331,0.04881225,0.044140203,0.039025883,0.03348698,0.027541185,0.021206188,0.014499682,0.007439356,4.29E-05,-0.007671989,-0.015687626,-0.023986319,-0.032550376,-0.041362106,-0.050403819,-0.059657824,-0.069106429,-0.078731943,-0.088516677,-0.098442937,-0.108493035,-0.118649278,-0.128893977,-0.139209439,-0.149577973,-0.15998189,-0.170403498
0.065530221,0.067161762,0.068641274,0.069816729,0.07053622,0.070691543,0.070282448,0.069325061,0.067835508,0.065829916,0.06332441,0.060335117,0.056878163,0.052969675,0.048625778,0.043862598,0.038696263,0.033142899,0.02721863,0.020939585,0.014321888,0.007381667,0.000135047,-0.007401845,-0.015212883,-0.023281941,-0.031592893,-0.040129611,-0.048875971,-0.057815846,-0.06693311,-0.076211635,-0.085635297,-0.095187969,-0.104853525,-0.114615838,-0.124458782,-0.134366231,-0.144322059,-0.154310139,-0.164314345
0.069835903,0.070866528,0.07175854,0.072373325,0.072572384,0.072257061,0.071427127,0.070097285,0.068282239,0.065996692,0.063255346,0.060072906,0.056464073,0.052443552,0.048026046,0.043226257,0.038058889,0.032538645,0.026680228,0.020498342,0.014007689,0.007222972,0.000158896,-0.007169838,-0.014748525,-0.022562463,-0.030596948,-0.038837278,-0.047268749,-0.055876658,-0.064646302,-0.073562977,-0.082611981,-0.09177861,-0.101048162,-0.110405932,-0.119837219,-0.129327318,-0.138861526,-0.148425141,-0.158003459
0.072674664,0.073205661,0.073610231,0.073761945,0.073534478,0.072837848,0.071671846,0.070049882,0.067985368,0.065491714,0.062582331,0.059270628,0.055570018,0.051493909,0.047055714,0.042268843,0.037146706,0.031702714,0.025950277,0.019902807,0.013573713,0.006976407,0.000124299,-0.0069692,-0.01429068,-0.02182673,-0.02956394,-0.037488898,-0.045588194,-0.053848418,-0.062256159,-0.070798006,-0.079460549,-0.088230377,-0.097094079,-0.106038245,-0.115049464,-0.124114325,-0.133219419,-0.142351333,-0.151496659
0.074193425,0.074316679,0.074324565,0.074101714,0.073532853,0.072535869,0.071110572,0.0692692,0.067023991,0.064387181,0.061371009,0.057987711,0.054249526,0.050168691,0.045757443,0.041028021,0.03599266,0.030663599,0.025053076,0.019173328,0.013036592,0.006655106,4.11E-05,-0.006793167,-0.013835478,-0.021073589,-0.028495263,-0.036088262,-0.043840349,-0.051739285,-0.059772835,-0.067928759,-0.076194821,-0.084558782,-0.093008407,-0.101531456,-0.110115693,-0.11874888,-0.127418779,-0.136113154,-0.144819766
0.074539106,0.074337097,0.074029759,0.073511761,0.07267786,0.071453088,0.069837273,0.067841586,0.065477202,0.062755291,0.059687027,0.056283582,0.05255613,0.048515843,0.044173893,0.039541454,0.034629697,0.029449796,0.024012924,0.018330252,0.012412954,0.006272203,-8.08E-05,-0.00663497,-0.013379047,-0.020301886,-0.027392315,-0.034639162,-0.042031254,-0.049557418,-0.057206482,-0.064967272,-0.072828617,-0.080779343,-0.088808278,-0.096904248,-0.105056083,-0.113252608,-0.121482651,-0.129735039,-0.1379986
0.073858627,0.073404432,0.072854029,0.072111212,0.071079851,0.069691472,0.067945916,0.065853389,0.063424096,0.060668241,0.05759603,0.054217668,0.050543359,0.04658331,0.042347724,0.037846807,0.033090763,0.028089799,0.022854119,0.017393928,0.011719431,0.005840833,-0.000231661,-0.006487845,-0.012917515,-0.019510466,-0.026256493,-0.03314539,-0.040166953,-0.047310976,-0.054567255,-0.061925584,-0.069375758,-0.076907573,-0.084510823,-0.092175304,-0.099890809,-0.107647135,-0.115434076,-0.123241427,-0.131058983
0.072298909,0.071656199,0.070925593,0.070019194,0.068849177,0.067352984,0.06553047,0.063390957,0.06094377,0.058198231,0.055163665,0.051849395,0.048264745,0.044419037,0.040321595,0.035981743,0.031408804,0.026612102,0.021600961,0.016384702,0.010972651,0.005374131,-0.000401536,-0.006345025,-0.012447013,-0.018698176,-0.025089192,-0.031610736,-0.038253486,-0.045008117,-0.051865306,-0.05881573,-0.065850065,-0.072958988,-0.080133175,-0.087363303,-0.094640049,-0.101954088,-0.109296098,-0.116656754,-0.124026734
0.070006871,0.069229915,0.068372667,0.067354834,0.066096191,0.06453959,0.0626849,0.060540637,0.058115318,0.055417459,0.052455578,0.049238192,0.045773816,0.042070969,0.038138168,0.033983928,0.029616766,0.0250452,0.020277747,0.015322923,0.010189245,0.00488523,-0.000580605,-0.006199743,-0.011963668,-0.017863863,-0.02389181,-0.030038993,-0.036296895,-0.042657,-0.049110789,-0.055649748,-0.062265358,-0.068949102,-0.075692465,-0.082486929,-0.089323977,-0.096195093,-0.103091759,-0.110005458,-0.116927675
0.067129435,0.066263096,0.065323467,0.064237259,0.062931243,0.061353255,0.059503175,0.057388777,0.055017835,0.052398122,0.049537414,0.046443484,0.043124105,0.039587053,0.035840101,0.031891024,0.027747594,0.023417588,0.018908777,0.014228938,0.009385843,0.004387266,-0.000759017,-0.006045234,-0.01146361,-0.017006371,-0.022665743,-0.028433951,-0.034303223,-0.040265784,-0.046313859,-0.052439674,-0.058635457,-0.064893432,-0.071205825,-0.077564863,-0.083962771,-0.090391775,-0.096844102,-0.103311976,-0.109787625
