lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
-0.154553418,-0.141210306,-0.128158391,-0.11568887,-0.104092704,-0.093577148,-0.084142682,-0.075758419,-0.068393469,-0.062016944,-0.056597957,-0.052105618,-0.04850904,-0.045777334,-0.043879613,-0.042784986,-0.042462568,-0.042881468,-0.044010799,-0.045819672,-0.0482772,-0.051352494,-0.055014665,-0.059232825,-0.063976087,-0.069213561,-0.074914359,-0.081047594,-0.087582377,-0.094487819,-0.101733032,-0.109287128,-0.117119219,-0.125198416,-0.133493832,-0.141974577,-0.150609763,-0.159368503,-0.168219907,-0.177133089,-0.186077158
-0.122749845,-0.11087826,-0.099287865,-0.088259851,-0.07807518,-0.068933986,-0.060836732,-0.053753591,-0.047654736,-0.042510342,-0.038290579,-0.034965623,-0.032505646,-0.03088082,-0.03006132,-0.030017319,-0.030718989,-0.032136503,-0.034240035,-0.036999759,-0.040385846,-0.044368471,-0.048917806,-0.054004024,-0.059597299,-0.065667804,-0.072185712,-0.079121196,-0.086444429,-0.094125584,-0.102134835,-0.110442355,-0.119018316,-0.127832892,-0.136856256,-0.146058581,-0.155410041,-0.164880808,-0.174441056,-0.184060957,-0.193710685
-0.093617372,-0.083115092,-0.072884091,-0.063195647,-0.054320819,-0.046452685,-0.039591692,-0.033709066,-0.02877603,-0.024763809,-0.021643628,-0.01938671,-0.017964282,-0.017347567,-0.01750779,-0.018416175,-0.020043946,-0.022362329,-0.025342548,-0.028955828,-0.033173392,-0.037966466,-0.043306273,-0.04916404,-0.055510989,-0.062318346,-0.069557335,-0.07719918,-0.085215107,-0.093576339,-0.102254102,-0.111219619,-0.120444115,-0.129898815,-0.139554944,-0.149383725,-0.159356384,-0.169444145,-0.179618232,-0.18984987,-0.200110283
-0.067053948,-0.05782236,-0.048852238,-0.040405046,-0.032742038,-0.026049308,-0.020327287,-0.01554824,-0.011684433,-0.008708132,-0.006591601,-0.005307106,-0.004826913,-0.005123287,-0.006168494,-0.007934799,-0.010394468,-0.013519765,-0.017282957,-0.021656309,-0.026612086,-0.032122554,-0.038159978,-0.044696624,-0.051704758,-0.059156644,-0.067024548,-0.075280735,-0.083897472,-0.092847023,-0.102101654,-0.111633631,-0.121415218,-0.131418682,-0.141616287,-0.1519803,-0.162482985,-0.173096609,-0.183793436,-0.194545732,-0.205325763
-0.042957521,-0.03490162,-0.027097473,-0.019796835,-0.013251257,-0.00763992,-0.00296324,0.000805488,0.003692968,0.005725904,0.006931002,0.007334965,0.006964498,0.005846306,0.004007093,0.001473563,-0.001727579,-0.005569628,-0.010025881,-0.015069631,-0.020674176,-0.026812811,-0.033458831,-0.040585531,-0.048166208,-0.056174156,-0.064582671,-0.07336505,-0.082494586,-0.091944576,-0.101688316,-0.1116991,-0.121950225,-0.132414985,-0.143066677,-0.153878596,-0.164824037,-0.175876296,-0.187008668,-0.19819445,-0.209406936
-0.021226039,-0.014254426,-0.007524964,-0.001279801,0.004239108,0.008859417,0.012580726,0.015428721,0.017429088,0.018607513,0.01898968,0.018601277,0.017467988,0.0156155,0.013069497,0.009855667,0.005999693,0.001527263,-0.003535938,-0.009164225,-0.015331912,-0.022013312,-0.029182741,-0.036814513,-0.044882942,-0.053362341,-0.062227027,-0.071451312,-0.081009512,-0.090875939,-0.10102491,-0.111430738,-0.122067737,-0.132910221,-0.143932506,-0.155108904,-0.166413732,-0.177821302,-0.189305929,-0.200841928,-0.212403612
-0.001757452,0.004217663,0.009960122,0.015237269,0.019816638,0.023532638,0.026384887,0.028398062,0.029596843,0.030005908,0.029649936,0.028553605,0.026741594,0.024238582,0.021069247,0.017258268,0.012830323,0.007810091,0.002222251,-0.003908519,-0.01055754,-0.017700133,-0.02531162,-0.033367323,-0.041842561,-0.050712658,-0.059952934,-0.069538711,-0.07944531,-0.089648053,-0.10012226,-0.110843253,-0.121786354,-0.132926884,-0.144240165,-0.155701517,-0.167286262,-0.178969722,-0.190727218,-0.202534071,-0.214365602
0.015550292,0.020613092,0.025452616,0.029845588,0.033568914,0.036463681,0.038529519,0.039790114,0.040269148,0.039990305,0.038977269,0.037253724,0.034843353,0.031769839,0.028056867,0.023728121,0.018807282,0.013318037,0.007284067,0.000729057,-0.006323309,-0.013849349,-0.021825378,-0.030227713,-0.039032669,-0.048216565,-0.057755714,-0.067626435,-0.077805044,-0.088267856,-0.098991188,-0.109951357,-0.121124679,-0.13248747,-0.144016046,-0.155686725,-0.167475821,-0.179359652,-0.191314535,-0.203316784,-0.215342717
0.030799245,0.035030305,0.039047351,0.042636369,0.045583519,0.047736481,0.0490949,0.049681478,0.049518917,0.048629917,0.047037181,0.044763408,0.0418313,0.038263559,0.034082886,0.029311981,0.023973546,0.018090283,0.011684891,0.004780074,-0.002601469,-0.010437036,-0.018703925,-0.027379436,-0.036440868,-0.045865519,-0.055630688,-0.065713673,-0.076091774,-0.08674229,-0.097642519,-0.108769759,-0.120101311,-0.131614472,-0.143286542,-0.155094818,-0.167016601,-0.179029189,-0.19110988,-0.203235974,-0.215384768
0.044091458,0.047567745,0.050839159,0.053700825,0.055948035,0.057434974,0.058161305,0.058148758,0.057419066,0.05599396,0.053895171,0.051144432,0.047763474,0.043774029,0.039197828,0.034056604,0.028372087,0.02216601,0.015460104,0.008276102,0.000635733,-0.007439268,-0.015927172,-0.024806247,-0.034054759,-0.043650979,-0.053573174,-0.063799613,-0.074308564,-0.085078295,-0.096087074,-0.10731317,-0.118734851,-0.130330386,-0.142078043,-0.15395609,-0.165942795,-0.178016427,-0.190155254,-0.202337544,-0.214541566
