group,arrive_date,arrive_time_diff
Low,2021/12/10,39
Low,2021/12/6,35
Low,2021/12/2,31
Low,2021/11/27,26
High,2021/11/2,1
High,2021/11/23,22
High,2021/12/1,30
High,2021/12/8,37
High,2021/11/26,25
High,2021/11/23,22
Low,2021/11/27,26
High,2021/11/24,23
Low,2021/12/2,31
High,2021/11/28,27
Low,2021/12/5,34
Low,2021/12/5,34
Low,2021/12/11,40
Low,2021/11/29,28
Low,2021/11/28,27
High,2021/11/19,18
High,2021/11/23,22
High,2021/11/29,28
Low,2021/11/29,28
High,2021/12/2,31
Low,2021/12/8,37
Low,2021/11/21,20
Low,2021/12/13,42
Low,2021/11/26,25
Low,2021/12/2,31
High,2021/11/30,29
High,2021/11/26,25
High,2021/12/5,34
High,2021/11/19,18
Low,2021/12/4,33
Low,2021/12/17,46
Low,2021/11/23,22
Low,2021/12/8,37
High,2021/12/2,31
High,2021/12/2,31
High,2021/11/29,28
Low,2021/12/1,30
Low,2021/12/12,41
Low,2021/11/28,27
Low,2021/11/24,23
Low,2021/11/26,25
High,2021/12/12,41
High,2021/11/21,20
High,2021/11/26,25
Low,2021/11/29,28
High,2021/11/29,28
Low,2021/11/6,5
