Date,mean_cases,mean_chr,log_mean_cases
2021/12/11,2273.291317,6.921375205,7.72898398
2021/12/12,2273.801121,6.919415658,7.729208213
2021/12/13,2275.030813,6.941329168,7.729748875
2021/12/14,2260.834734,7.039282152,7.723489375
2021/12/15,2294.417367,6.870044844,7.73823422
2021/12/16,2339.57423,6.789851947,7.757724239
2021/12/17,2413.798319,6.54041453,7.788956852
2021/12/18,2479.935574,6.414227398,7.815987861
2021/12/19,2552.941176,6.267850952,7.845001376
2021/12/20,2726.515406,5.98393468,7.910779665
2021/12/21,2910.568627,5.711078121,7.976103746
2021/12/22,3142.94958,5.529089372,8.052916995
2021/12/23,3436.37535,5.37671284,8.142172518
2021/12/24,3661.2493,5.806422233,8.205559707
2021/12/25,3738.218486,5.830054182,8.226364436
2021/12/26,3941.703083,5.951155832,8.279368164
2021/12/27,4433.434175,4.972135315,8.396929772
2021/12/28,4898.859945,4.773718971,8.496757793
2021/12/29,5509.162462,4.397193799,8.614167887
2021/12/30,6308.689076,4.01055457,8.749683181
2021/12/31,6939.089635,4.003506821,8.844925868
2022/1/1,7458.694676,4.058769184,8.917135702
2022/1/2,7827.397756,4.139984924,8.965385391
2022/1/3,9079.47619,3.462888677,9.113771782
2022/1/4,10005.46779,3.259215911,9.210887001
2022/1/5,10678.56862,3.118787518,9.275994079
2022/1/6,11255.57983,3.056724325,9.328619269
2022/1/7,12345.19048,2.761859537,9.421021831
2022/1/8,12746.4706,2.777471071,9.453009696
2022/1/9,12962.11764,2.801926426,9.469786355
2022/1/10,13966.75632,2.711085736,9.544435236
2022/1/11,14229.21569,2.686410571,9.563052573
2022/1/12,14611.44257,2.645244182,9.589560238
2022/1/13,14967.35294,2.61791089,9.613626637
2022/1/14,14942.51539,2.62932713,9.611965811
2022/1/15,14991.37815,2.653071606,9.615230525
2022/1/16,14969.13724,2.681587542,9.613745843
2022/1/17,14189.31652,3.133991318,9.560244603
2022/1/18,14382.32774,2.789758511,9.573755491
2022/1/19,14246.40896,2.760375663,9.564260151
2022/1/20,13934.29691,2.821006496,9.542108484
2022/1/21,13719.63585,2.863550835,9.52658336
2022/1/22,13345.21849,2.890925818,9.498913434
2022/1/23,13171.00281,2.937728283,9.485772935
2022/1/24,13322.40055,2.813386032,9.497202149
2022/1/25,12325.72828,3.149346337,9.419444087
2022/1/26,11682.99439,3.219290392,9.365889593
2022/1/27,11131.69749,3.329787189,9.317551947
2022/1/28,10436.38655,3.477990468,9.253053686
2022/1/29,10138.7507,3.543350338,9.224120064
2022/1/30,9756.140051,3.585620556,9.185652115
2022/1/31,8549.728291,3.913443858,9.053654783
2022/2/1,8005.593836,4.05032916,8.987895806
2022/2/2,7336.551813,4.301540967,8.900624231
2022/2/3,6721.7591,4.55205904,8.81310517
2022/2/4,6010.383754,4.884623366,8.701243878
2022/2/5,5684.17087,4.900761727,8.64544055
2022/2/6,5518.966385,4.910377263,8.615945873
2022/2/7,4742.593837,5.524251418,8.464339488
2022/2/8,4463.904764,5.614527224,8.40377917
2022/2/9,4166.15126,5.935925877,8.334747929
2022/2/10,3655.145658,6.344385966,8.203891223
2022/2/11,3340.022411,6.445197376,8.113732796
2022/2/12,3236.036416,6.343192772,8.082104532
2022/2/13,3106.26891,6.24348287,8.041177578
2022/2/14,2770.546218,6.660394902,7.92679977
2022/2/15,2526.666667,6.753197581,7.83465619
2022/2/16,2279.296919,6.965496561,7.731622306
2022/2/17,2095.392157,7.192034562,7.647496002
2022/2/18,1950.137255,7.364879046,7.575655036
2022/2/19,1874.770308,7.229269643,7.536241429
2022/2/20,1831.238095,7.091309086,7.512747572
2022/2/21,1479.795518,8.758380389,7.299659194
2022/2/22,1500.669468,8.066951022,7.313666599
2022/2/23,1410.803922,8.247844896,7.251914978
2022/2/24,1343.218487,8.31128981,7.202823869
2022/2/25,1262.092437,8.487861963,7.140526287
2022/2/26,1219.747899,8.174987204,7.106399476
2022/2/27,1184.879552,8.066757706,7.077396404
2022/2/28,1250.747899,7.762262487,7.131496971
2022/3/1,1066.717143,8.15837931,6.972341121
2022/3/2,989.8487394,8.510762111,6.897552143
2022/3/3,924.5210084,8.705039471,6.829275775
2022/3/4,837.0868347,9.072590242,6.72992781
2022/3/5,805.1652661,9.26662481,6.691047556
2022/3/6,778.1148459,9.2694152,6.65687413
2022/3/7,746.837143,9.13249738,6.615847147
2022/3/8,698.1344537,9.353093263,6.548411711
2022/3/9,678.3837535,9.242626104,6.519713136
2022/3/10,644.0308123,9.49949943,6.46774657
2022/3/11,625.9187675,9.712455368,6.439220598
2022/3/12,618.7787115,9.368676755,6.427747715
2022/3/13,619.9215686,9.084113268,6.429592968
2022/3/14,582.9571428,9.690281256,6.368113672
2022/3/15,576.5102041,9.554612996,6.35699304
2022/3/16,544.6228572,9.611017895,6.30009355
2022/3/17,531.0114286,9.615523832,6.274783544
2022/3/18,516.3914285,9.530020361,6.24686506
2022/3/19,509.8628571,9.432002801,6.234141782
2022/3/20,509.9828571,9.204275488,6.234377112
2022/3/21,525.8746356,8.938607294,6.265062849
2022/3/22,543.1309524,8.430237163,6.297350455
