State,Date,X,Series_Complete_Pop_Pct,TEMP_new_14MA,Humidity_14MA,capacity,pre_hosp_adm_pct,Daily_hospital_Admission_pct_ma,New_Cases_MA,Additional_Doses_Vax_Pct,diff_Completevac_90,diff_Completevac_180,diff_Completevac_270,inpatient_beds,log_Cases_MA,weekday,holiday,Daily_hospital_Admission_pct1,hosp_daily_diff,Adjust_Doses_Vax_Pct,Adjust_Doses_Vax_Pct_7,onlyBA1,bothBA12,onlyBA2,natural_immunity
Alabama,2021/11/1,4862,44.8,16.09777793,76.39693533,0.717083641,3.123454755,2.955542677,1725.571429,10.1,10.3,20.3,44.8,14909,7.453313538,FALSE,FALSE,0.029555427,-0.001679121,41.984,47.73358953,NA,NA,NA,6.16558953
Alabama,2021/11/2,4863,44.8,15.99425523,76.52237129,0.730277186,2.955542677,6.28581993,772.7142859,10.2,10.2,20.3,44.8,15008,6.649909363,FALSE,FALSE,0.062858199,0.033302773,41.988,47.71758953,NA,NA,NA,6.16558953
Alabama,2021/11/3,4864,44.9,15.52857715,76.4622703,0.760741085,6.28581993,7.153965785,642.9999998,10.9,10.3,19.6,44.9,15059,6.466144724,FALSE,FALSE,0.071539658,0.008681459,42.079,47.82858953,NA,NA,NA,6.16558953
Alabama,2021/11/4,4865,45,14.78247454,76.79599619,0.759319773,7.153965785,6.254043563,662.4285712,11.2,10.3,19.2,45,14995,6.495912735,FALSE,FALSE,0.062540436,-0.008999222,42.166,47.92758953,NA,NA,NA,6.16558953
Alabama,2021/11/5,4866,45,14.18682495,76.93781343,0.750262812,6.254043563,6.229997866,669.5714287,11.6,10.2,19.1,45,15220,6.506637849,FALSE,FALSE,0.062299979,-0.000240457,42.178,48.04258953,NA,NA,NA,6.16558953
Alabama,2021/11/6,4867,45,13.71884573,76.54748796,0.749621636,6.229997866,6.334349151,656.2857142,11.7,10.2,19,45,15197,6.486596234,TRUE,FALSE,0.063343492,0.001043513,42.178,48.06658953,NA,NA,NA,6.16558953
Alabama,2021/11/7,4868,45.1,13.16144777,75.89665114,0.722031662,6.334349151,6.154517678,654.5714286,12.2,10.2,19.1,45.1,15160,6.483980714,TRUE,FALSE,0.061545177,-0.001798315,42.293,48.15758953,NA,NA,NA,6.16558953
Alabama,2021/11/8,4869,45.1,12.51336924,74.66934623,0.701978892,6.154517678,6.00466794,673.2857144,12.4,10.1,18.9,45.1,15160,6.512169778,FALSE,FALSE,0.060046679,-0.001498497,42.293,48.14958953,NA,NA,NA,6.16558953
Alabama,2021/11/9,4870,45.2,12.20447199,74.70704503,0.721258062,6.00466794,6.56495608,617.9999997,12.5,10.2,18.4,45.2,15039,6.426488457,FALSE,FALSE,0.065649561,0.005602881,42.368,48.15358953,NA,NA,NA,6.16558953
Alabama,2021/11/10,4871,45.2,12.14341658,74.98368147,0.764828095,6.56495608,6.453089245,624.2857143,13,10.1,18,45.2,14921,6.436608139,FALSE,FALSE,0.064530892,-0.001118668,42.372,48.24458953,NA,NA,NA,6.16558953
Alabama,2021/11/11,4872,45.3,12.01288191,75.61667532,0.771216987,6.453089245,7.015429122,592.5714284,13.1,10.1,17.8,45.3,15259,6.38447142,FALSE,TRUE,0.070154291,0.005623399,42.459,48.33158953,NA,NA,NA,6.16558953
Alabama,2021/11/12,4873,45.3,12.04588107,75.35535444,0.774705111,7.015429122,6.76056338,608.5714284,13.1,10.1,17.8,45.3,15260,6.41111429,FALSE,FALSE,0.067605634,-0.002548657,42.459,48.34358953,NA,NA,NA,6.16558953
Alabama,2021/11/13,4874,45.3,11.81412112,73.86351389,0.761948409,6.76056338,6.925795053,606.4285716,13.4,9.9,17.7,45.3,15274,6.40758695,TRUE,FALSE,0.069257951,0.001652317,42.467,48.34358953,NA,NA,NA,6.16558953
Alabama,2021/11/14,4875,45.5,11.23155359,73.18322155,0.728528529,6.925795053,6.820319849,607.4285712,14.2,9.9,17.7,45.5,14985,6.40923459,TRUE,FALSE,0.068203198,-0.001054752,42.681,48.45858953,NA,NA,NA,6.16558953
Alabama,2021/11/15,4876,45.5,10.94110524,72.16797619,0.715903107,6.820319849,7.580783422,547.5714284,14.4,9.8,17.7,45.5,15192,6.305492916,FALSE,FALSE,0.075807834,0.007604636,42.689,48.45858953,NA,NA,NA,6.16558953
Alabama,2021/11/16,4877,45.5,10.93790279,71.98969417,0.736300915,7.580783422,6.859571024,605.1428573,14.5,9.8,17.3,45.5,15074,6.405464558,FALSE,FALSE,0.06859571,-0.007212124,42.677,48.53358953,NA,NA,NA,6.16558953
Alabama,2021/11/17,4878,45.6,11.2522999,72.14838334,0.776041322,6.859571024,8.096288709,517.9999999,14.9,9.7,17.3,45.6,15101,6.249975242,FALSE,FALSE,0.080962887,0.012367177,42.784,48.53758953,NA,NA,NA,6.16558953
Alabama,2021/11/18,4879,45.6,11.58568793,71.7488768,0.792650745,8.096288709,7.402058802,551.1428569,15.6,9.5,17.1,45.6,15158,6.311994044,FALSE,FALSE,0.074020588,-0.006942299,42.804,48.62458953,NA,NA,NA,6.16558953
Alabama,2021/11/19,4880,45.7,11.46134309,69.92101208,0.790553857,7.402058802,7.693186579,535.8571428,15.8,9.4,17,45.7,14715,6.283867601,FALSE,FALSE,0.076931866,0.002911278,42.899,48.62458953,NA,NA,NA,6.16558953
Alabama,2021/11/20,4881,45.7,11.40126606,69.14754209,0.774793523,7.693186579,7.325131009,537.4285715,16.5,9.4,17,45.7,15377,6.286795861,TRUE,FALSE,0.07325131,-0.003680556,42.927,48.63258953,NA,NA,NA,6.16558953
Alabama,2021/11/21,4882,45.8,11.61732332,69.47033156,0.732531538,7.325131009,7.103185098,540.1428572,16.6,9.2,16.9,45.8,15299,6.291833655,TRUE,FALSE,0.071031851,-0.002219459,43.018,48.84658953,NA,NA,NA,6.16558953
Alabama,2021/11/22,4883,45.8,11.79554665,70.37291605,0.704405629,7.103185098,6.856100104,548,16.8,9,16.8,45.8,14141,6.306275287,FALSE,FALSE,0.068561001,-0.00247085,43.022,48.85458953,NA,NA,NA,6.16558953
Alabama,2021/11/23,4884,45.8,11.37414593,68.89469427,0.728654027,6.856100104,7.081081081,528.5714288,17.2,9,16.8,45.8,14874,6.27017795,FALSE,FALSE,0.070810811,0.00224981,43.038,48.84258953,NA,NA,NA,6.16558953
Alabama,2021/11/24,4885,46,10.82673574,67.79548967,0.749396135,7.081081081,7.251591475,516.1428571,17.5,9,16.9,46,14904,6.246383582,FALSE,FALSE,0.072515915,0.001705104,43.236,48.94958953,NA,NA,NA,6.16558953
Alabama,2021/11/25,4886,46,10.38368366,66.74533206,0.732278228,7.251591475,8.899456522,420.5714287,17.5,8.5,16.8,46,15038,6.041614331,FALSE,TRUE,0.088994565,0.01647865,43.232,48.96958953,NA,NA,NA,6.16558953
Alabama,2021/11/26,4887,46,10.12258449,66.20749155,0.732145232,8.899456522,9.775888717,369.7142859,17.5,8.3,16.8,46,15038,5.912730507,FALSE,FALSE,0.097758887,0.008764322,43.232,49.06458953,NA,NA,NA,6.16558953
Alabama,2021/11/27,4888,46,9.821336576,65.43165388,0.724531323,9.775888717,10.3030303,353.5714286,17.5,8.1,16.8,46,14989,5.868085526,TRUE,FALSE,0.103030303,0.005271416,43.232,49.09258953,NA,NA,NA,6.16558953
Alabama,2021/11/28,4889,46,9.969160252,65.52691676,0.720297527,10.3030303,10.75401731,346.7142858,17.5,7.9,16.8,46,14923,5.848501057,TRUE,FALSE,0.107540173,0.00450987,43.232,49.18358953,NA,NA,NA,6.16558953
