group,diff_hosp,hosp_mean,waiting_time
Low,0.888806106,6.628406505,42
Low,0.090204692,2.345182179,45
Low,0.261706088,7.493793588,45
Low,0.819616246,6.632267575,37
High,0.048891567,4.162932938,38
High,-0.070978548,5.946877132,32
High,0.061907603,5.763240434,31
High,0.158265794,6.402457138,34
High,0.544564675,NA,28
High,1.109307018,7.704841873,32
Low,0.322539493,6.588689053,32
High,0.44905364,NA,42
Low,-0.236732829,3.656767517,45
High,-0.168638852,4.97041817,33
Low,-0.361477315,8.013729173,42
Low,-0.299771654,6.785533428,39
Low,0.219697828,NA,45
Low,0.408203379,5.107104203,42
Low,0.558141137,7.323592536,34
High,-0.217941711,3.689777401,36
High,0.237223098,7.409848365,30
High,0.15993312,3.565893131,32
Low,-0.363555006,6.023751596,45
High,-0.411030431,4.113222974,46
Low,0.14591144,4.790468619,45
Low,-0.075977378,7.36984777,30
Low,-0.029545383,8.156889947,49
Low,-0.190652091,NA,40
Low,0.14354036,8.013338167,45
High,-0.143248542,3.690519562,45
High,0.439658693,5.265736155,31
High,0.237173699,5.210931844,45
High,0.266986754,9.542721817,31
Low,0.681713034,0.484697059,38
Low,0.312539257,6.079874944,43
Low,-0.161850329,9.183000914,38
Low,0.272454342,8.537856888,41
High,0.748168817,4.685965908,45
High,-0.162278446,6.835535297,33
High,0.099681501,2.459692371,32
Low,0.462740324,6.684560347,39
Low,0.721158279,NA,46
Low,0.472718208,5.25128232,46
Low,0.279407083,6.333111426,38
Low,0.692375369,6.973026842,45
High,0.411493011,3.06630194,45
High,0.290484792,4.598210408,33
High,0.258888859,3.02319484,48
Low,0.315175046,5.903947795,47
High,-0.18359582,6.240654997,39
Low,0.573283557,7.076762481,45
