Date,New_Cases_MA
2021/7/6,14744.28571
2021/7/7,15653.57143
2021/7/8,16935.57143
2021/7/9,18433.85714
2021/7/10,19481
2021/7/11,20331.42857
2021/7/12,23143.28571
2021/7/13,25228.85714
2021/7/14,27478.85714
2021/7/15,29254.28572
2021/7/16,31316.28571
2021/7/17,32907.28572
2021/7/18,34530.57143
2021/7/19,36733.71429
2021/7/20,38982.28571
2021/7/21,42169.85714
2021/7/22,46539
2021/7/23,50358.85714
2021/7/24,53374.57143
2021/7/25,55475.85715
2021/7/26,59195.57143
2021/7/27,64124.42857
2021/7/28,68041.71429
2021/7/29,71943.28572
2021/7/30,76888.14285
2021/7/31,80670.71428
2021/8/1,83196.57143
2021/8/2,87554.57143
2021/8/3,90967.14285
2021/8/4,96245.28571
2021/8/5,100257.2857
2021/8/6,103313.1429
2021/8/7,108909.1429
2021/8/8,113922.5714
2021/8/9,112650.4286
2021/8/10,116067.4286
2021/8/11,118446.8571
2021/8/12,121737
2021/8/13,124578.5714
2021/8/14,127320.1429
2021/8/15,129279.8571
2021/8/16,131505.7143
2021/8/17,133748
2021/8/18,137149.2857
2021/8/19,140523.7143
2021/8/20,143192.2857
2021/8/21,143884
2021/8/22,146241.4286
2021/8/23,147255.1429
2021/8/24,148982.7143
2021/8/25,150367.8571
2021/8/26,152001.2857
2021/8/27,154469
2021/8/28,155670.1429
2021/8/29,154423.7143
2021/8/30,156837.2857
2021/8/31,158851.1429
2021/9/1,161940
2021/9/2,161229.8572
2021/9/3,161357.5714
2021/9/4,160142.7143
2021/9/5,161157.7143
2021/9/6,157827.4286
2021/9/7,149475
2021/9/8,145309.8571
2021/9/9,145671
2021/9/10,144007.4286
2021/9/11,145563.1429
2021/9/12,144266.4286
2021/9/13,144606.8571
2021/9/14,150887
2021/9/15,149898.5714
2021/9/16,147515.7143
2021/9/17,145541.7143
2021/9/18,141290.7143
2021/9/19,138608.5714
2021/9/20,135742.5714
2021/9/21,131865.1429
2021/9/22,127639.1429
2021/9/23,123256.4286
2021/9/24,119786.4286
2021/9/25,115945.2857
2021/9/26,113099.4286
2021/9/27,114469.7143
2021/9/28,111902.7143
2021/9/29,109647.1429
2021/9/30,107744.2857
2021/10/1,106045.1429
2021/10/2,103987.7143
2021/10/3,102696.7143
2021/10/4,100472.7143
2021/10/5,98628.57143
2021/10/6,97162.71429
2021/10/7,95749.57143
2021/10/8,93868.14285
2021/10/9,92187
2021/10/10,91017.85714
2021/10/11,89387.14286
2021/10/12,87411.14286
2021/10/13,85977.71429
2021/10/14,83574.85714
2021/10/15,81207.85715
2021/10/16,80181.85714
2021/10/17,78724.71429
2021/10/18,77905.85714
2021/10/19,76575.42857
2021/10/20,73745.14286
2021/10/21,72602
2021/10/22,71388.57143
2021/10/23,67566.28571
2021/10/24,64288.14286
2021/10/25,66519.42857
2021/10/26,69702.28571
2021/10/27,70795
2021/10/28,70124
2021/10/29,70765
2021/10/30,70465.28571
2021/10/31,70428.14285
2021/11/1,73937
2021/11/2,69948.57143
2021/11/3,69255.14286
2021/11/4,70103.14286
2021/11/5,70432.42857
2021/11/6,70582.71429
2021/11/7,71218.42857
2021/11/8,72321.28572
2021/11/9,73499.28572
2021/11/10,75334.71428
2021/11/11,73130.85714
2021/11/12,77814.57143
2021/11/13,80424.42857
2021/11/14,80707.28571
2021/11/15,83127.14286
2021/11/16,85318.14286
2021/11/17,87156.28572
2021/11/18,92774.85714
2021/11/19,91710.71428
2021/11/20,90594.28571
2021/11/21,90921.42857
2021/11/22,92563
2021/11/23,92891.57143
2021/11/24,93316
2021/11/25,87268.42857
2021/11/26,82719
2021/11/27,83572.71428
2021/11/28,86199
2021/11/29,78874.28571
2021/11/30,81702.28571
2021/12/1,85145.71429
2021/12/2,95555.14286
2021/12/3,105538.1429
2021/12/4,107768.2857
2021/12/5,107250
2021/12/6,119912
2021/12/7,120568.2857
2021/12/8,119979
2021/12/9,118909
2021/12/10,116433.8571
2021/12/11,115937.8571
2021/12/12,115963.8571
2021/12/13,116026.5714
2021/12/14,115302.5714
2021/12/15,117015.2857
2021/12/16,119318.2857
2021/12/17,123103.7143
2021/12/18,126476.7143
2021/12/19,130200
2021/12/20,139052.2857
2021/12/21,148439
2021/12/22,160290.4286
2021/12/23,175255.1429
2021/12/24,186723.7143
2021/12/25,190649.1428
2021/12/26,201026.8571
2021/12/27,226105.1429
2021/12/28,249841.8571
2021/12/29,280967.2857
2021/12/30,321743.1429
2021/12/31,353893.5714
2022/1/1,380393.4286
2022/1/2,399197.2857
2022/1/3,463053.2857
2022/1/4,510278.8571
2022/1/5,544607
2022/1/6,574034.5714
2022/1/7,629604.7143
2022/1/8,650070
2022/1/9,661068
2022/1/10,712304.5715
2022/1/11,725690
2022/1/12,745183.5714
2022/1/13,763335
2022/1/14,762068.2857
2022/1/15,764560.2857
2022/1/16,763425.9999
2022/1/17,723655.1429
2022/1/18,733498.7143
2022/1/19,726566.8572
2022/1/20,710649.1428
2022/1/21,699701.4286
2022/1/22,680606.1429
2022/1/23,671721.1429
2022/1/24,679442.4286
2022/1/25,628612.1428
2022/1/26,595832.7143
2022/1/27,567716.5714
2022/1/28,532255.7143
2022/1/29,517076.2857
2022/1/30,497563.1429
2022/1/31,436036.1428
2022/2/1,408285.2857
2022/2/2,374164.1429
2022/2/3,342809.7143
2022/2/4,306529.5714
2022/2/5,289892.7143
2022/2/6,281467.2857
2022/2/7,241872.2857
2022/2/8,227659.1429
2022/2/9,212473.7143
2022/2/10,186412.4286
2022/2/11,170341.1429
2022/2/12,165037.8571
2022/2/13,158419.7143
2022/2/14,141297.8571
2022/2/15,128860
2022/2/16,116244.1429
2022/2/17,106865
2022/2/18,99457.00001
2022/2/19,95613.28572
2022/2/20,93393.14286
2022/2/21,75469.57143
2022/2/22,76534.14286
2022/2/23,71951
2022/2/24,68504.14285
2022/2/25,64366.71428
2022/2/26,62207.14285
2022/2/27,60428.85714
2022/2/28,63788.14286
2022/3/1,53413.71429
2022/3/2,50482.28571
2022/3/3,47150.57143
2022/3/4,42691.42857
2022/3/5,41063.42857
2022/3/6,39683.85714
2022/3/7,37358.14286
2022/3/8,35604.85714
2022/3/9,34597.57143
2022/3/10,32845.57143
2022/3/11,31921.85714
2022/3/12,31557.71429
2022/3/13,31616
2022/3/14,29174.28571
2022/3/15,28286
2022/3/16,27320.28571
2022/3/17,26639.71429
2022/3/18,25890
2022/3/19,25563.57143
2022/3/20,25569.57143
2022/3/21,25880.28571
2022/3/22,26179
