Date,Daily_hospital_Admission_MA
2021/7/6,2048.877551
2021/7/7,2126.408163
2021/7/8,2195.77551
2021/7/9,2255.122449
2021/7/10,2348.714286
2021/7/11,2444.489796
2021/7/12,2552.367347
2021/7/13,2692
2021/7/14,2776.673469
2021/7/15,2903.183673
2021/7/16,3032.632653
2021/7/17,3163.632653
2021/7/18,3297.510204
2021/7/19,3457.306123
2021/7/20,3652.326531
2021/7/21,3855.632653
2021/7/22,4095.571429
2021/7/23,4324.326531
2021/7/24,4573.755102
2021/7/25,4822.714286
2021/7/26,5080.040816
2021/7/27,5370.204082
2021/7/28,5690.285715
2021/7/29,5960.632653
2021/7/30,6320.653061
2021/7/31,6655.734694
2021/8/1,6928.551021
2021/8/2,7214.204081
2021/8/3,7567.979592
2021/8/4,7891.285714
2021/8/5,8238.67347
2021/8/6,8537.755102
2021/8/7,8825.897959
2021/8/8,9141.897959
2021/8/9,9441.653062
2021/8/10,9726.244899
2021/8/11,10027.02041
2021/8/12,10319.95918
2021/8/13,10552.93878
2021/8/14,10765.5102
2021/8/15,10891.46939
2021/8/16,11031.22449
2021/8/17,11203.7551
2021/8/18,11354.04082
2021/8/19,11452
2021/8/20,11547.36735
2021/8/21,11640.30612
2021/8/22,11771.59184
2021/8/23,11826.30612
2021/8/24,11863.10204
2021/8/25,11843.95918
2021/8/26,11895.65306
2021/8/27,11906
2021/8/28,11877.55102
2021/8/29,11821.69388
2021/8/30,11787.83673
2021/8/31,11766.67347
2021/9/1,11813.38776
2021/9/2,11765.93878
2021/9/3,11662.87755
2021/9/4,11640.18367
2021/9/5,11603.18367
2021/9/6,11554.46939
2021/9/7,11357.44898
2021/9/8,11275.73469
2021/9/9,11206.77551
2021/9/10,11175.91837
2021/9/11,11060.34694
2021/9/12,10931.4898
2021/9/13,10830.32653
2021/9/14,10783.69388
2021/9/15,10570.89796
2021/9/16,10384.59184
2021/9/17,10176.89796
2021/9/18,9999.89796
2021/9/19,9827.857142
2021/9/20,9602.673469
2021/9/21,9420.040816
2021/9/22,9237.326531
2021/9/23,8999.714286
2021/9/24,8805.693878
2021/9/25,8594.265307
2021/9/26,8414.122449
2021/9/27,8262.693877
2021/9/28,8098.755102
2021/9/29,7915.285714
2021/9/30,7744.938775
2021/10/1,7603.469388
2021/10/2,7467.081633
2021/10/3,7333.44898
2021/10/4,7199.448979
2021/10/5,7062.346939
2021/10/6,6982.510204
2021/10/7,6909.489796
2021/10/8,6800.102041
2021/10/9,6720.204082
2021/10/10,6655.183673
2021/10/11,6577.020408
2021/10/12,6490.755102
2021/10/13,6378.408163
2021/10/14,6271.489796
2021/10/15,6217.367347
2021/10/16,6135.326531
2021/10/17,6063.367347
2021/10/18,5993.612245
2021/10/19,5880.836735
2021/10/20,5772.979592
2021/10/21,5702.653061
2021/10/22,5602.755102
2021/10/23,5527.244898
2021/10/24,5452.326531
2021/10/25,5399.734694
2021/10/26,5325.734694
2021/10/27,5278.061224
2021/10/28,5207.469388
2021/10/29,5158.040816
2021/10/30,5122.734694
2021/10/31,5087.918367
2021/11/1,5011.204082
2021/11/2,4990.346939
2021/11/3,4966.163265
2021/11/4,4945.938776
2021/11/5,4935.979592
2021/11/6,4920.591837
2021/11/7,4946.244898
2021/11/8,5017.346939
2021/11/9,5070.795918
2021/11/10,5099.183674
2021/11/11,5142.326531
2021/11/12,5180.55102
2021/11/13,5247.836735
2021/11/14,5292.265306
2021/11/15,5334.44898
2021/11/16,5425.571428
2021/11/17,5518.102041
2021/11/18,5631.77551
2021/11/19,5679.040816
2021/11/20,5727.408163
2021/11/21,5782.693878
2021/11/22,5887.265306
2021/11/23,5967.959184
2021/11/24,6022.115646
2021/11/25,6032.891157
2021/11/26,6002.85034
2021/11/27,6116.156463
2021/11/28,6204.707483
2021/11/29,6280.564626
2021/11/30,6361.85034
2021/12/1,6478.795918
2021/12/2,6595.77551
2021/12/3,6880.938775
2021/12/4,6995.591837
2021/12/5,7102.632653
2021/12/6,7177.408163
2021/12/7,7304.571429
2021/12/8,7423.061224
2021/12/9,7563.979592
2021/12/10,7636.510204
2021/12/11,7681.857143
2021/12/12,7737.469388
2021/12/13,7713.183674
2021/12/14,7674.77551
2021/12/15,7642.591837
2021/12/16,7610.408163
2021/12/17,7603.469388
2021/12/18,7596.897959
2021/12/19,7600.020408
2021/12/20,7679.673469
2021/12/21,7774.326531
2021/12/22,7921.632653
2021/12/23,8118.918367
2021/12/24,8294.408163
2021/12/25,8465.979592
2021/12/26,8771.102041
2021/12/27,9257.510204
2021/12/28,9947.816326
2021/12/29,10802.65306
2021/12/30,11694.93878
2021/12/31,12679.28571
2022/1/1,13582.04082
2022/1/2,14464.44898
2022/1/3,15257.87755
2022/1/4,16035.26531
2022/1/5,16752.55102
2022/1/6,17465.87755
2022/1/7,18135.67347
2022/1/8,18862.20408
2022/1/9,19312.14286
2022/1/10,19701.97959
2022/1/11,20068.61224
2022/1/12,20407.02041
2022/1/13,20585.26531
